2020-01-17 22:25:23.628 [main] INFO  com.process.boot.XbootApplication - Starting XbootApplication on kai.local with PID 65744 (/Users/xukaixuan/IdeaProjects/xboot/target/classes started by xukaixuan in /Users/xukaixuan/IdeaProjects/xboot)
2020-01-17 22:25:23.632 [main] INFO  com.process.boot.XbootApplication - No active profile set, falling back to default profiles: default
2020-01-17 22:25:25.270 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-17 22:25:25.271 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:25:25.318 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 repository interfaces.
2020-01-17 22:25:25.346 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-17 22:25:25.348 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:25:25.382 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
2020-01-17 22:25:26.155 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b420a1ea] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-17 22:25:26.844 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10088 (http)
2020-01-17 22:25:26.885 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10088"]
2020-01-17 22:25:26.894 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-17 22:25:26.894 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-01-17 22:25:27.093 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-17 22:25:27.094 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3378 ms
2020-01-17 22:25:28.378 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-01-17 22:25:28.507 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2020-01-17 22:25:28.509 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2020-01-17 22:25:28.754 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-01-17 22:25:28.988 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-01-17 22:25:29.280 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-01-17 22:25:29.298 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2020-01-17 22:25:30.495 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-01-17 22:25:32.029 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-17 22:25:32.270 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-01-17 22:25:32.271 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-01-17 22:25:32.271 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-01-17 22:25:32.272 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-01-17 22:25:33.081 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2020-01-17 22:25:33.105 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2020-01-17 22:25:33.105 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.1 created.
2020-01-17 22:25:33.106 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2020-01-17 22:25:33.107 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.1) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2020-01-17 22:25:33.107 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2020-01-17 22:25:33.108 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.1
2020-01-17 22:25:33.108 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@1ef15699
2020-01-17 22:25:33.127 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-01-17 22:25:33.160 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-01-17 22:25:33.277 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2020-01-17 22:25:33.277 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2020-01-17 22:25:33.302 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10088"]
2020-01-17 22:25:33.308 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - ===================
2020-01-17 22:25:33.308 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - 文件监控启动成功！
2020-01-17 22:25:33.309 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - ===================
2020-01-17 22:25:33.335 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10088 (http) with context path ''
2020-01-17 22:25:33.340 [main] INFO  com.process.boot.XbootApplication - Started XbootApplication in 10.882 seconds (JVM running for 15.438)
2020-01-17 22:25:33.568 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2020-01-17 22:25:33.574 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-17 22:25:33.574 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-17 22:25:33.586 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-01-17 22:25:33.627 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#a0e4fa6:0/SimpleConnection@56ebbc3e [delegate=amqp://admin@127.0.0.1:5672/, localPort= 53098]
2020-01-17 22:25:33.963 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-01-17 22:25:33.966 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-01-17 22:25:35.012 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:35
2020-01-17 22:25:40.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:40
2020-01-17 22:25:45.006 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:45
2020-01-17 22:25:50.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:50
2020-01-17 22:25:55.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:55
2020-01-17 22:26:00.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:00
2020-01-17 22:26:05.005 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:05
2020-01-17 22:26:10.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:10
2020-01-17 22:26:15.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:15
2020-01-17 22:26:20.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:20
2020-01-17 22:26:25.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:25
2020-01-17 22:26:30.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:30
2020-01-17 22:26:35.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:35
2020-01-17 22:26:40.007 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:40
2020-01-17 22:26:45.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:45
2020-01-17 22:26:50.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:50
2020-01-17 22:26:55.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:55
2020-01-17 22:27:00.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:00
2020-01-17 22:27:05.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:05
2020-01-17 22:27:10.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:10
2020-01-17 22:27:15.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:15
2020-01-17 22:27:20.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:20
